clase,parametro,seleccion,
macro,nitrogeno_total,[],
macro,nitrogeno_amoniacal,[],
macro,nitrogeno_ureico,[],
macro,nitrogeno_organico,[],
macro,fosforo_total,[],
macro,fosforo_asimilable,[],
macro,fosforo_lenta_asimilacion,[]
macro,potasio_total,[],
macro,potasio_soluble,[],
menor,calcio_total,[],
menor,calcio_soluble,[],
menor,magnesio_total,[],
menor,magnesio_soluble,[],
menor,azufre_total,[],
menor,azufre_soluble,[],
micro,boro_total,[],
micro,boro_soluble,[],
micro,cobalto_total,[],
micro,cobalto_soluble,[],
micro,cobre_total,[],
micro,cobre_soluble,[],
micro,hierro_total,[],
micro,hierro_soluble,[],
micro,manganeso_total,[],
micro,manganeso_soluble,[],
micro,sodio_total,[],
micro,sodio_soluble,[],
micro,zinc_total,[],
micro,zinc_soluble,[],
fisicoquimico,ph,[],
fisicoquimico,densidad,[],
fisicoquimico,humedad,[],
fisicoquimico,conductividad-electrica,[],
fisicoquimico,solubilidad-agua,[],
fisicoquimico,solubilidad-acido,[],
metales-pesados,cromo,[],
metales-pesados,cadmio,[],
metales-pesados,mercurio,[],
metales-pesados,plomo,[],
metales-pesados,niquel,[],
microbiologico,salmonella,[],
microbiologico,enterobacterias,[],
microbiologico,helmintos,[],
